iter	Passed	Remaining
669	8736	4302
670	8749	4289
671	8761	4276
672	8774	4263
673	8785	4249
674	8801	4237
675	8811	4223
676	8821	4208
677	8836	4196
678	8848	4182
679	8859	4169
680	8872	4156
681	8883	4142
682	8897	4129
683	8911	4116
684	8925	4104
685	8936	4090
686	8949	4077
687	8959	4062
688	8973	4050
689	8983	4035
690	8995	4022
691	9007	4009
692	9023	3997
693	9033	3983
694	9044	3969
695	9057	3956
696	9072	3944
697	9084	3930
698	9099	3918
699	9109	3904
700	9118	3889
701	9128	3874
702	9139	3861
703	9150	3847
704	9169	3836
705	9187	3826
706	9200	3813
707	9212	3799
708	9225	3786
709	9236	3772
710	9251	3760
711	9263	3747
712	9276	3734
713	9290	3721
714	9301	3707
715	9312	3693
716	9322	3679
717	9335	3666
718	9349	3653
719	9357	3639
720	9373	3627
721	9388	3614
722	9403	3602
723	9414	3589
724	9429	3576
725	9443	3564
726	9456	3551
727	9469	3538
728	9481	3524
729	9496	3512
730	9514	3501
731	9530	3489
732	9542	3475
733	9553	3462
734	9567	3449
735	9581	3436
736	9596	3424
737	9607	3410
738	9622	3398
739	9638	3386
740	9650	3373
741	9664	3360
742	9676	3347
743	9690	3334
744	9704	3321
745	9716	3308
746	9729	3295
747	9743	3282
748	9754	3268
749	9763	3254
750	9775	3240
751	9787	3227
752	9802	3215
753	9816	3202
754	9828	3189
755	9839	3175
756	9854	3163
757	9871	3151
758	9881	3137
759	9892	3124
760	9904	3110
761	9914	3096
762	9923	3082
763	9934	3068
764	9945	3055
765	9955	3041
766	9966	3027
767	9977	3013
768	9989	3000
769	10001	2987
770	10014	2974
771	10030	2962
772	10044	2949
773	10054	2935
774	10067	2922
775	10079	2909
776	10090	2895
777	10100	2882
778	10114	2869
779	10126	2856
780	10136	2842
781	10148	2828
782	10158	2815
783	10171	2802
784	10183	2789
785	10192	2775
786	10201	2760
787	10212	2747
788	10226	2734
789	10236	2721
790	10248	2708
791	10263	2695
792	10274	2682
793	10284	2668
794	10294	2654
795	10305	2641
796	10318	2628
797	10328	2614
798	10339	2601
799	10350	2587
800	10361	2574
801	10375	2561
802	10387	2548
803	10397	2534
804	10408	2521
805	10420	2508
806	10434	2495
807	10449	2483
808	10465	2470
809	10479	2458
810	10492	2445
811	10502	2431
812	10514	2418
813	10524	2404
814	10537	2391
815	10550	2379
816	10562	2365
817	10572	2352
818	10584	2339
819	10596	2326
820	10612	2313
821	10625	2300
822	10635	2287
823	10648	2274
824	10663	2262
825	10677	2249
826	10689	2236
827	10704	2223
828	10717	2210
829	10730	2197
830	10742	2184
831	10754	2171
832	10769	2159
833	10784	2146
834	10799	2133
835	10817	2122
836	10829	2108
837	10844	2096
838	10856	2083
839	10869	2070
840	10887	2058
841	10902	2045
842	10915	2032
843	10928	2019
844	10941	2007
845	10956	1994
846	10971	1981
847	10984	1969
848	10999	1956
849	11013	1943
850	11024	1930
851	11036	1917
852	11047	1903
853	11064	1891
854	11078	1878
855	11092	1866
856	11104	1852
857	11114	1839
858	11124	1826
